,LATITUDE,LONGITUDE,NAME,STATION,TEMP_COEF_AVG,TEMP_COEF_MAX,TEMP_COEF_MIN,YEAR_MAX,YEAR_MIN
123,32.65,-79.966667,"GILLISONVILLE, SC US",USC00383505,,,,1904,1896
124,33.2742,-113.9653,"KOFA MINE, AZ US",USC00024702,1.567991933842359,0.4775565317415606,2.795164249544142,2017,1953
125,23.8,-110.05,"SAN ANTONIO SUR, MX",MXN00003049,0.9531447432888926,2.01508806312695,-0.11833466566956305,2012,1939
126,68.44,22.45,"KARESUANDO A, SW",SWE00140958,,,,2019,2009
127,42.4077,-82.8891,"GROSSE POINTE FARMS, MI US",USC00203477,-0.46646049152035896,-1.777931828140364,0.5212955679986292,2018,1952
128,51.8,-106.5,"DUNDURN, SK CA",CA004052280,0.7912395602581215,-0.7310938196352085,2.2876209083779355,1984,1923
129,-30.1591,131.579,"MARALINGA, AS",ASN00018114,,,,2008,1957
130,42.2,-82.2,"PORT CREWE, ON CA",CA006136619,,,,1994,1989
131,34.95,-79.783333,"ROCKINGHAM, NC US",USC00317370,-0.8294455122604707,1.0962344923990914,-2.1842407158543393,1944,1900
132,40.70391,-111.53658999999999,"SNYDERVILLE, UT US",USC00427942,,,,2000,1993
133,52.1167,-101.2333,"SWAN RIVER RCS, MB CA",CA00504K80K,,,,2017,1997
134,40.7333,-123.2333,"BIG BAR CALIFORNIA, CA US",USR0000CBBR,2.2160162894994584,2.273055312129493,2.1629980926851906,2018,1990
135,45.0,-78.5833,"HALIBURTON A, ON CA",CA006163156,0.0762467484927671,-1.0587481174272158,1.1819271236992572,1992,1884
136,25.2167,-105.4333,"J. SALOME ACOSTA, MX",MXN00010035,1.1136894045475811,-0.26850518817118035,2.4177502167100107,2007,1970
137,49.6478,7.8842,"RUPPERTSECKEN, GM",GME00128038,3.863433373349339,4.401824729891955,3.329075630252101,2019,1951
138,39.3794,-105.3394,"BAILEY COLORADO, CO US",USR0000CBAI,,,,2019,1996
139,53.7831,39.25,"PAVELETZ, RS",RSM00027823,2.6071161761348005,2.6710759890164573,2.547786605464839,2017,1936
140,46.5,-84.3667,"SAULT STE M FORESTRY, ON CA",CA006057595,,,,1933,1891
141,37.51,-113.4,"LONG FLAT, UT US",USS0013M02S,7.517564402810304,7.315712426805465,8.42857142857143,2016,1981
142,56.8331,124.8667,"CULMAN, RS",RSM00030393,5.117140980090341,0.9392803391516077,9.14980377997987,2017,1937
143,36.1664,-116.1017,"PAHRUMP NEVADA, NV US",USR0000NPAH,,,,1996,1987
144,25.6,-105.0,"EL PALMITO, MX",MXN00010021,1.9756283643453565,1.886888638001257,2.0615089992023825,2003,1938
145,50.4833,-103.0667,"SUMMERBERRY, SK CA",CA004017910,,,,1981,1974
146,38.1756,-115.4069,"GARDEN VALLEY NEVADA, NV US",USR0000NGAR,,,,1999,1991
147,18.7667,-90.9167,"CHICBUL, MX",MXN00004054,-9.030988534242336,-14.140068174775337,-3.421879255560597,2010,1979
148,61.2928,5.0442,"FURENESET, NO",NOE00134454,,,,2019,1973
149,35.93333,-84.31667,"OAK RIDGE, TN US",USC00406740,,,,1963,1948
150,18.6667,-100.1833,"SANTIAGO AMATEPEC, MX",MXN00015159,,,,1988,1978
151,34.1954,-86.7963,"CULLMAN 3 ENE, AL US",USW00063867,,,,2019,2007
152,34.60889,-96.33306,"CENTRAHOMA 1 E MESONET, OK US",USC00341644,,,,2019,2010
